state,zip_code,total_listings,price_median,bed_median,bath_median,acre_lot_median,house_size_median,price_mean,bed_mean,bath_mean,acre_lot_mean,house_size_mean
Indiana,46033,64,499900.0,4,3,0.38,3667.0,654085.45,4.13,3.77,0.39,3931.5
Indiana,46121,13,289000.0,3,2,0.44,1814.0,273850.77,3.08,2.08,0.41,1865.85
Indiana,46131,64,250000.0,3,2,0.19,1816.0,284206.81,3.22,2.38,0.24,2079.06
Indiana,46158,23,259900.0,3,2,0.46,1698.0,273456.57,3.0,2.0,0.74,1809.13
Indiana,46176,52,220000.0,3,2,0.19,2028.0,233400.69,3.15,1.98,0.34,2069.31
Indiana,46186,3,269000.0,3,2,1.47,1840.0,292800.0,3.0,1.67,1.8,1968.33
Indiana,46240,28,329900.0,3,2,0.26,2004.0,487582.14,3.07,2.61,0.32,2457.54
Indiana,46254,33,200000.0,3,2,0.15,1419.0,200927.24,2.85,2.33,0.15,1476.36
Indiana,46324,22,169900.0,3,1,0.13,1250.0,176431.77,3.09,1.64,0.13,1524.27
Indiana,46349,10,420000.0,3,3,1.01,1888.0,423496.2,3.0,2.7,1.02,1959.9
Indiana,46356,54,334900.0,3,2,0.25,1874.0,357014.28,3.33,2.44,0.36,1994.11
Indiana,46391,5,345000.0,3,2,0.55,1697.0,331960.0,2.8,2.2,9.17,2138.4
Indiana,46392,6,359900.0,3,2,1.0,1800.0,329941.5,3.0,2.33,1.18,2143.33
Indiana,46403,13,138900.0,3,1,0.15,1008.0,163642.31,3.0,1.62,0.16,1509.23
Indiana,46514,26,236000.0,3,2,0.23,1680.0,263393.35,3.08,2.0,0.27,1769.58
Indiana,46517,15,249000.0,4,2,0.46,1964.0,253053.33,3.4,2.27,0.49,1966.13
Indiana,46534,22,194900.0,3,2,0.23,1457.0,268858.86,3.0,1.91,0.38,1719.45
Indiana,46538,10,399800.0,3,2,0.37,1812.0,768620.0,3.2,3.1,0.38,3011.8
Indiana,46573,1,179900.0,4,1,0.2,1399.0,179900.0,4.0,1.0,0.2,1399.0
Indiana,46580,36,195000.0,3,2,0.23,1648.0,264208.33,3.11,2.0,0.29,1871.81
Indiana,46614,18,200000.0,3,2,0.44,1808.0,241855.44,3.28,2.33,0.48,1961.06
Indiana,46701,6,110000.0,2,1,0.23,900.0,162100.0,2.0,1.33,0.51,1108.33
Indiana,46721,6,95000.0,3,1,0.2,1380.0,153116.67,2.83,1.33,0.45,1562.0
Indiana,46763,3,144000.0,3,2,0.2,2050.0,217933.33,2.67,2.0,0.8,1714.0
Indiana,46785,1,759900.0,3,2,13.0,3040.0,759900.0,3.0,2.0,13.0,3040.0
Indiana,46788,3,999900.0,3,5,2.96,4614.0,791266.67,3.33,4.67,5.75,4494.33
Indiana,46808,9,125000.0,3,2,0.14,1120.0,130822.22,2.78,1.67,0.15,1333.33
Indiana,46933,8,96900.0,3,2,0.2,1272.0,115612.5,3.13,1.63,0.22,1439.25
Indiana,46941,1,460000.0,3,2,15.0,3714.0,460000.0,3.0,2.0,15.0,3714.0
Indiana,46960,2,475000.0,3,2,65.0,1520.0,2487500.0,5.0,5.0,98.5,4565.5
Indiana,46990,1,239000.0,3,2,2.0,2350.0,239000.0,3.0,2.0,2.0,2350.0
Indiana,47030,4,135000.0,1,1,0.11,1052.0,160725.0,1.5,1.0,0.13,1243.0
Indiana,47108,2,124900.0,2,1,0.16,1058.0,137450.0,2.5,1.5,0.83,1060.5
Indiana,47118,2,179500.0,3,1,0.66,782.0,207250.0,3.0,2.0,6.77,1269.5
Indiana,47130,39,269800.0,3,2,0.18,1410.0,275726.28,3.0,2.13,0.18,1585.56
Indiana,47140,6,195500.0,3,2,1.2,1188.0,216883.33,3.33,2.0,6.83,1528.0
Indiana,47270,1,47250.0,3,2,3.19,1216.0,47250.0,3.0,2.0,3.19,1216.0
Indiana,47340,3,79900.0,2,1,0.37,1092.0,82966.67,2.33,1.33,0.77,1105.33
Indiana,47342,4,129900.0,3,2,1.5,1693.0,331175.0,3.75,2.75,3.01,2795.5
Indiana,47351,2,89900.0,3,2,0.27,1040.0,239900.0,3.0,2.0,4.44,1596.0
Indiana,47355,3,59900.0,3,1,0.17,1467.0,61566.67,3.33,1.0,0.19,1544.33
Indiana,47359,3,179900.0,4,1,1.96,1500.0,189933.33,3.33,1.33,3.12,1574.67
Indiana,47374,93,129000.0,3,2,0.19,1630.0,151832.05,3.11,1.88,0.25,1717.02
Indiana,47385,2,139900.0,2,1,0.34,1573.0,147400.0,3.0,1.5,0.36,2140.0
Indiana,47436,2,200000.0,3,2,2.0,1352.0,237000.0,3.5,2.0,6.87,1558.0
Indiana,47501,23,160000.0,3,2,0.22,1727.0,184713.04,2.87,1.74,0.36,1671.35
Indiana,47514,1,105000.0,3,1,0.03,925.0,105000.0,3.0,1.0,0.03,925.0
Indiana,47577,1,479900.0,5,3,45.0,3095.0,479900.0,5.0,3.0,45.0,3095.0
Indiana,47613,3,162500.0,3,2,0.69,1329.0,235133.33,3.0,2.0,1.28,1966.0
Indiana,47620,10,210000.0,3,2,0.5,2059.0,221040.0,3.5,2.6,0.55,2556.6
Indiana,47841,3,92000.0,2,1,0.33,976.0,73333.33,2.33,1.33,0.58,1041.67
Indiana,47881,1,120000.0,3,2,0.4,1620.0,120000.0,3.0,2.0,0.4,1620.0
Indiana,47922,2,74500.0,2,1,0.19,1080.0,101200.0,3.0,1.0,0.27,1671.0
Indiana,47933,36,159900.0,3,2,0.3,1791.0,196362.5,3.0,1.72,0.55,1995.39
Indiana,47960,41,195000.0,3,2,0.29,1296.0,226480.46,2.93,1.71,0.38,1612.07
Indiana,46016,39,84900.0,3,1,0.14,1582.0,79812.82,2.62,1.28,0.14,1625.31
Indiana,46017,8,195000.0,3,2,0.35,1536.0,170437.5,3.0,2.0,0.49,1616.25
Indiana,46031,2,265000.0,3,2,0.14,1772.0,372000.0,3.0,2.0,3.26,2138.0
Indiana,46037,106,450000.0,4,3,0.24,3692.0,505611.37,3.85,3.49,0.24,3719.55
Indiana,46044,4,164900.0,3,1,0.15,1436.0,205685.0,3.0,1.25,0.46,2031.25
Indiana,46055,33,379900.0,4,3,0.2,2474.0,372015.42,3.7,3.0,0.21,2596.06
Indiana,46065,3,299000.0,3,2,0.79,1773.0,399633.33,5.33,3.0,1.08,4533.67
Indiana,46074,203,466990.0,4,3,0.22,2982.0,522956.4,3.62,3.19,0.23,3154.44
Indiana,46104,2,189500.0,3,1,1.1,2216.0,209250.0,3.0,1.0,1.95,2285.0
Indiana,46142,37,280000.0,3,2,0.36,1721.0,295199.0,3.0,2.32,0.34,1961.35
Indiana,46172,9,119900.0,3,1,0.26,1248.0,132577.78,2.67,1.33,0.29,1184.11
Indiana,46225,33,223000.0,3,2,0.1,2080.0,231612.09,3.06,2.12,0.1,2174.06
Indiana,46229,42,220000.0,3,2,0.21,1880.0,246506.81,3.31,2.4,0.22,1945.88
Indiana,46303,29,297000.0,3,2,0.17,1550.0,320193.62,3.0,2.17,0.19,1696.66
Indiana,46304,54,376900.0,3,3,0.2,2200.0,408386.52,3.56,2.59,0.23,2142.07
Indiana,46506,4,275000.0,3,1,0.8,1950.0,256175.0,3.25,1.5,0.73,2000.0
Indiana,46530,24,495500.0,4,3,0.41,2808.0,525311.0,3.88,3.17,0.5,3111.58
Indiana,46561,18,269900.0,3,3,0.28,2000.0,358999.94,3.61,2.61,0.33,2092.0
Indiana,46616,8,119000.0,3,1,0.12,1476.0,145525.0,3.25,1.38,0.13,1500.63
Indiana,46733,16,225000.0,3,2,0.3,2004.0,243806.25,3.38,2.19,1.21,2185.31
Indiana,46743,1,119000.0,2,1,0.22,774.0,119000.0,2.0,1.0,0.22,774.0
Indiana,46746,2,249900.0,3,2,1.45,1774.0,449950.0,4.5,2.5,3.23,3587.0
Indiana,46774,6,144900.0,3,2,0.19,1231.0,171166.67,3.0,1.83,0.19,1544.5
Indiana,46802,10,174900.0,3,3,0.1,1672.0,331320.0,3.1,2.5,0.14,1927.9
Indiana,46807,7,119000.0,4,2,0.11,1710.0,121957.14,3.43,1.71,0.11,1723.0
Indiana,46815,4,159900.0,3,2,0.23,1316.0,173975.0,3.0,2.25,0.24,1540.5
Indiana,46913,2,39000.0,2,1,0.49,1152.0,744500.0,3.0,2.0,23.65,2471.0
Indiana,46917,1,106000.0,4,1,0.15,2116.0,106000.0,4.0,1.0,0.15,2116.0
Indiana,46926,2,141000.0,3,2,0.48,1590.0,143950.0,3.5,2.0,2.74,1719.0
Indiana,46932,2,89000.0,2,1,0.18,1128.0,103000.0,2.5,1.0,0.21,1148.0
Indiana,46970,34,99900.0,3,1,0.16,1422.0,100297.06,2.91,1.53,0.18,1444.41
Indiana,46974,2,55000.0,2,1,0.15,1083.0,102450.0,2.5,1.0,0.28,1243.5
Indiana,46996,23,200000.0,3,2,0.31,1732.0,186661.74,3.04,2.0,0.44,1643.57
Indiana,47038,3,429900.0,3,2,51.9,1600.0,465600.0,3.33,1.67,52.71,1898.67
Indiana,47040,8,169900.0,3,2,0.3,1344.0,197125.0,3.0,2.0,1.26,1644.0
Indiana,47110,1,410000.0,2,2,50.56,1536.0,410000.0,2.0,2.0,50.56,1536.0
Indiana,47111,37,299900.0,3,2,0.22,1440.0,292466.35,3.0,2.19,0.2,1470.68
Indiana,47119,23,399900.0,4,3,0.27,1874.0,387108.65,3.74,2.7,0.33,2012.13
Indiana,47124,2,295000.0,3,2,0.28,1719.0,397500.0,4.0,3.0,0.62,2526.0
Indiana,47160,1,179900.0,3,2,1.65,1560.0,179900.0,3.0,2.0,1.65,1560.0
Indiana,47162,1,235000.0,3,1,0.46,1942.0,235000.0,3.0,1.0,0.46,1942.0
Indiana,47320,11,151990.0,4,3,0.55,2009.0,162406.36,3.55,2.55,1.16,2116.45
Indiana,47325,1,159900.0,2,1,1.0,1253.0,159900.0,2.0,1.0,1.0,1253.0
Indiana,47327,8,119000.0,3,2,0.23,1080.0,127575.0,2.75,1.75,0.28,1337.0
Indiana,47348,16,45000.0,3,1,0.14,1201.0,62740.81,2.94,1.5,0.13,1469.44
Indiana,47373,2,89900.0,4,2,0.18,2188.0,274450.0,4.5,2.5,8.59,2553.5
Indiana,47380,2,39900.0,2,1,0.95,800.0,162400.0,2.5,1.5,2.98,1742.0
Indiana,47404,50,310000.0,3,2,0.26,1738.0,314483.0,3.26,2.32,0.5,1925.8
Indiana,47424,13,179900.0,3,1,3.06,1968.0,205023.08,3.23,1.54,4.49,1913.69
Indiana,47432,10,139000.0,3,1,0.41,1296.0,134550.0,2.8,1.7,0.46,1607.9
Indiana,47433,6,204900.0,3,2,1.0,1589.0,269633.33,3.0,2.0,0.99,1637.67
Indiana,47452,5,210000.0,3,2,0.29,1770.0,193780.0,3.2,2.0,0.54,2024.4
Indiana,47459,5,169900.0,3,2,2.0,1664.0,232940.0,3.2,2.0,2.12,2192.8
Indiana,47470,2,74900.0,3,1,1.23,1432.0,162400.0,3.0,1.5,2.69,1526.0
Indiana,47512,6,35900.0,2,1,0.18,1080.0,41865.83,2.5,1.0,0.25,1159.0
Indiana,47525,2,88500.0,1,1,0.55,864.0,109200.0,1.5,1.0,4.87,1059.0
Indiana,47528,2,19900.0,2,1,0.41,1108.0,79900.0,2.5,1.5,0.44,1551.5
Indiana,47564,2,22500.0,4,2,1.02,2052.0,233750.0,4.5,2.5,3.76,2724.5
Indiana,47591,20,133000.0,3,2,0.18,1344.0,138360.0,2.75,1.8,0.26,1476.95
Indiana,47838,7,119000.0,3,2,0.66,1232.0,145528.43,3.0,2.0,0.88,1518.43
Indiana,47847,2,58000.0,3,1,0.22,1364.0,73950.0,3.0,1.0,0.26,1978.0
Indiana,47850,4,68000.0,3,2,0.33,1364.0,125225.0,3.0,1.75,0.52,1613.5
Indiana,47872,16,144900.0,3,2,0.5,1316.0,188381.25,2.69,1.75,1.16,1625.38
Indiana,47879,3,174900.0,4,2,0.8,1782.0,187933.33,3.33,2.0,1.33,2146.0
Indiana,47885,5,89900.0,3,2,0.17,1488.0,119120.0,3.2,1.6,0.65,1574.8
Indiana,47989,9,598000.0,4,3,0.24,2366.0,443700.0,3.67,3.11,0.25,2278.22
Indiana,46040,52,424900.0,4,3,0.24,3118.0,472949.96,3.9,3.4,0.29,3351.6
Indiana,46064,57,320050.0,3,3,0.17,2141.0,310407.18,3.51,2.7,0.17,2160.47
Indiana,46068,5,274900.0,3,3,1.65,2496.0,252540.0,3.4,2.8,2.33,2457.4
Indiana,46069,15,220000.0,3,1,0.31,1796.0,349493.33,3.13,1.8,1.49,2025.0
Indiana,46075,28,380000.0,3,3,0.19,2482.0,384746.07,3.54,3.0,0.19,2598.18
Indiana,46111,1,153800.0,3,1,0.2,1056.0,153800.0,3.0,1.0,0.2,1056.0
Indiana,46130,6,299900.0,3,2,0.85,1446.0,266450.0,2.67,2.17,1.51,2071.67
Indiana,46150,1,88900.0,2,1,0.6,904.0,88900.0,2.0,1.0,0.6,904.0
Indiana,46173,23,139500.0,3,2,0.2,1851.0,142230.43,2.96,1.74,0.29,1915.3
Indiana,46201,134,179000.0,3,2,0.12,2071.0,217782.29,2.93,1.99,0.12,2093.38
Indiana,46203,139,235000.0,3,2,0.11,1912.0,274339.28,2.88,2.14,0.11,1921.65
Indiana,46227,34,235000.0,3,2,0.26,1416.0,221623.53,3.0,2.0,0.28,1538.5
Indiana,46239,65,308527.0,3,3,0.2,2225.0,314454.06,3.45,2.66,0.23,2300.54
Indiana,46290,1,675000.0,4,4,2.0,4785.0,675000.0,4.0,4.0,2.0,4785.0
Indiana,46312,20,149900.0,3,2,0.1,1584.0,152005.0,3.4,1.9,0.09,1672.5
Indiana,46320,23,139900.0,3,2,0.11,1225.0,141547.83,2.91,1.61,0.11,1514.83
Indiana,46368,24,259900.0,3,2,0.24,1762.0,292481.42,2.88,2.0,0.27,1869.46
Indiana,46371,3,349000.0,4,3,0.98,2387.0,359633.33,4.0,2.67,1.15,2520.0
Indiana,46374,2,29900.0,2,1,0.17,680.0,59950.0,2.5,1.0,1.29,1031.5
Indiana,46375,26,329000.0,3,3,0.24,1950.0,380734.08,3.23,2.73,0.23,2252.54
Indiana,46405,11,135000.0,2,1,0.15,1016.0,144772.73,2.55,1.18,0.15,1216.45
Indiana,46562,3,228500.0,4,2,0.72,2224.0,393433.33,3.67,2.0,6.98,2221.67
Indiana,46567,17,500000.0,3,2,0.27,1814.0,635700.0,3.35,2.29,0.35,1871.65
Indiana,46714,3,148000.0,3,2,0.16,1612.0,177633.33,3.33,2.0,0.2,1525.0
Indiana,46723,3,374000.0,3,2,5.0,1734.0,433000.0,3.33,2.33,21.67,1880.33
Indiana,46737,8,375000.0,3,3,0.63,2328.0,564412.5,3.13,2.75,0.67,2534.38
Indiana,46738,4,199900.0,3,2,0.2,1415.0,227900.0,3.25,2.25,0.3,1692.25
Indiana,46776,2,54900.0,3,1,0.15,910.0,77400.0,3.5,1.5,0.22,1269.0
Indiana,46825,6,179900.0,3,2,0.19,1500.0,206050.0,3.0,2.17,0.21,1622.83
Indiana,46915,1,59900.0,2,1,0.15,864.0,59900.0,2.0,1.0,0.15,864.0
Indiana,46923,7,170000.0,3,2,0.26,2794.0,256800.0,3.43,2.14,0.61,2383.86
Indiana,46962,9,140900.0,3,1,0.35,1284.0,134255.56,2.67,1.33,0.51,1337.78
Indiana,46991,2,64900.0,2,2,0.39,1389.0,131450.0,3.0,2.0,0.4,2485.5
Indiana,47001,9,189900.0,3,2,0.39,1768.0,214444.44,3.0,2.0,0.45,1895.11
Indiana,47138,3,69900.0,2,1,0.37,910.0,114933.33,2.33,1.33,5.56,986.0
Indiana,47224,1,912500.0,3,3,7.0,2500.0,912500.0,3.0,3.0,7.0,2500.0
Indiana,47305,5,69900.0,3,1,0.09,1080.0,67920.0,2.6,1.2,0.09,1360.0
Indiana,47345,3,124900.0,3,1,0.31,1641.0,313266.67,3.33,1.33,20.7,1717.67
Indiana,47362,58,98900.0,3,1,0.21,1372.0,130584.48,2.69,1.53,0.43,1511.81
Indiana,47429,38,250000.0,3,2,0.34,1687.0,296726.32,3.34,2.16,0.52,1824.66
Indiana,47443,3,69900.0,3,1,0.34,1248.0,73100.0,2.67,1.33,0.62,1304.0
Indiana,47446,21,135000.0,3,2,0.23,1276.0,144866.67,2.71,1.52,0.57,1253.62
Indiana,47631,4,155000.0,3,2,0.98,1827.0,326200.0,3.75,2.25,2.15,2831.5
Indiana,47635,5,159000.0,3,2,0.68,1575.0,165360.0,3.0,2.0,0.71,1494.8
Indiana,47638,1,230000.0,4,1,2.01,2763.0,230000.0,4.0,1.0,2.01,2763.0
Indiana,47708,1,414900.0,2,4,0.09,4624.0,414900.0,2.0,4.0,0.09,4624.0
Indiana,47725,18,285000.0,3,2,0.18,1781.0,269854.17,3.17,2.39,0.39,1881.0
Indiana,47862,3,289900.0,3,3,0.8,2044.0,279900.0,3.0,2.67,2.09,1980.0
Indiana,47901,2,350000.0,2,2,0.15,2040.0,357000.0,3.0,2.0,0.18,2529.0
Indiana,47944,4,105000.0,3,2,0.11,1526.0,112125.0,3.25,2.25,0.19,1908.0
Indiana,47946,2,84900.0,3,1,0.15,1159.0,106950.0,3.0,1.5,0.17,1195.5
Indiana,47955,3,889000.0,4,3,5.31,5092.0,629300.0,3.33,2.33,3.55,3703.67
Indiana,46012,21,168000.0,3,2,0.3,1625.0,166076.19,3.0,1.67,0.3,1667.0
Indiana,46039,1,229900.0,3,1,6.99,1537.0,229900.0,3.0,1.0,6.99,1537.0
Indiana,46105,3,140000.0,3,1,0.56,1824.0,182966.67,2.33,1.33,0.67,1971.67
Indiana,46124,8,159900.0,3,1,0.25,1162.0,181075.0,2.63,1.63,0.23,1350.88
Indiana,46143,112,319900.0,3,3,0.21,2313.0,351140.56,3.55,3.0,0.24,2557.44
Indiana,46144,3,79900.0,3,1,0.17,2018.0,94633.33,3.0,1.33,0.17,1923.67
Indiana,46164,32,429900.0,3,2,0.33,1876.0,556481.22,2.5,2.16,0.43,1979.16
Indiana,46168,60,345607.0,3,3,0.2,1919.0,340784.23,3.47,2.68,0.24,2347.73
Indiana,46219,65,179900.0,3,2,0.17,1880.0,188207.69,2.8,1.71,0.21,1893.95
Indiana,46221,29,225000.0,3,2,0.21,1510.0,214424.14,3.0,1.97,0.25,1662.14
Indiana,46236,41,299000.0,3,3,0.27,2240.0,336875.59,3.32,2.73,0.33,2510.51
Indiana,46278,15,500000.0,4,4,0.49,3767.0,455040.0,3.6,3.47,0.48,3630.67
Indiana,46346,4,85000.0,2,1,0.18,878.0,97250.0,2.5,1.0,0.2,893.75
Indiana,46390,4,219900.0,3,2,0.42,1888.0,233700.0,3.0,2.0,0.41,1886.75
Indiana,46406,9,119900.0,3,1,0.15,1302.0,113511.11,2.78,1.33,0.15,1492.33
Indiana,46516,12,179900.0,3,2,0.24,1628.0,226916.58,3.0,1.92,0.4,1588.92
Indiana,46524,1,131900.0,3,1,0.25,1676.0,131900.0,3.0,1.0,0.25,1676.0
Indiana,46544,21,155000.0,3,2,0.16,1680.0,177842.81,3.14,1.81,0.18,1527.62
Indiana,46550,13,165000.0,3,2,0.21,1443.0,177776.92,3.15,2.0,0.24,1592.38
Indiana,46553,1,334900.0,3,2,0.21,1349.0,334900.0,3.0,2.0,0.21,1349.0
Indiana,46582,8,214900.0,3,2,0.33,1508.0,260712.5,3.0,2.0,0.35,1488.63
Indiana,46590,3,269900.0,4,2,0.34,1693.0,319900.0,4.0,2.67,0.27,1871.0
Indiana,46615,9,149900.0,3,2,0.14,1264.0,148066.67,2.78,1.67,0.15,1321.89
Indiana,46703,19,269500.0,3,2,0.23,1644.0,412631.58,3.0,2.37,0.24,1799.47
Indiana,46711,3,170000.0,3,2,0.21,1640.0,173266.67,3.0,2.0,0.3,1723.67
Indiana,46760,2,205000.0,3,2,4.18,1924.0,217000.0,3.0,2.0,5.18,2354.0
Indiana,46765,5,490000.0,4,4,0.45,2880.0,775980.0,3.8,3.6,0.47,3392.6
Indiana,46819,2,149900.0,4,1,0.19,1788.0,407400.0,4.5,2.5,2.26,3192.0
Indiana,46901,54,79900.0,3,2,0.15,1329.0,94507.74,2.83,1.59,0.14,1435.69
Indiana,47034,1,194000.0,3,2,0.61,2464.0,194000.0,3.0,2.0,0.61,2464.0
Indiana,47042,3,225000.0,4,2,0.78,1872.0,234333.33,3.67,2.0,1.22,1814.67
Indiana,47117,5,129900.0,3,2,1.9,1734.0,213780.0,3.0,2.4,6.37,1988.4
Indiana,47135,1,490000.0,3,3,3.4,3200.0,490000.0,3.0,3.0,3.4,3200.0
Indiana,47164,2,175000.0,2,1,0.03,1254.0,349500.0,2.5,1.5,11.02,1414.5
Indiana,47227,2,395000.0,2,2,5.0,1782.0,447000.0,2.5,2.0,14.19,2011.0
Indiana,47243,6,209900.0,3,2,0.34,1390.0,213866.67,3.0,2.0,0.42,1505.83
Indiana,47302,49,69900.0,3,1,0.21,1437.0,88275.27,2.61,1.49,0.28,1484.88
Indiana,47338,4,49900.0,3,1,0.22,1624.0,82925.0,3.0,1.5,1.45,1779.5
Indiana,47360,2,89900.0,4,1,0.33,1876.0,167400.0,4.0,1.5,1.08,2629.0
Indiana,47388,2,185000.0,3,2,0.2,1388.0,222000.0,3.5,2.5,0.23,1954.0
Indiana,47441,13,119000.0,3,2,0.24,1458.0,121607.62,2.92,1.69,0.29,1532.38
Indiana,47535,1,70700.0,3,1,0.3,2380.0,70700.0,3.0,1.0,0.3,2380.0
Indiana,47558,1,899000.0,4,2,12.42,3200.0,899000.0,4.0,2.0,12.42,3200.0
Indiana,47576,2,135000.0,3,2,0.18,1472.0,135000.0,3.0,2.0,0.18,1472.0
Indiana,47579,7,259000.0,3,2,0.32,1642.0,278542.86,3.43,2.43,0.38,1711.86
Indiana,47588,2,114900.0,3,1,0.36,1730.0,139900.0,3.5,1.5,1.69,1761.0
Indiana,47633,1,110000.0,2,1,0.19,768.0,110000.0,2.0,1.0,0.19,768.0
Indiana,47660,1,105000.0,3,2,0.47,1344.0,105000.0,3.0,2.0,0.47,1344.0
Indiana,47866,1,179900.0,3,1,10.0,1120.0,179900.0,3.0,1.0,10.0,1120.0
Indiana,47868,5,215000.0,3,2,2.81,1620.0,231720.0,3.2,2.0,4.57,1831.8
Indiana,47871,1,146500.0,3,2,0.29,1520.0,146500.0,3.0,2.0,0.29,1520.0
Indiana,47874,10,139900.0,2,1,0.72,1296.0,116440.0,2.5,1.5,1.04,1298.1
Indiana,47882,25,99900.0,3,2,0.21,1220.0,96360.0,2.64,1.64,0.22,1346.04
Indiana,47950,2,120000.0,2,1,2.13,987.0,135000.0,3.0,1.5,2.57,1665.5
Indiana,47952,3,158000.0,3,2,0.89,2266.0,147666.67,2.33,1.67,0.9,2211.0
Indiana,47978,16,125000.0,3,1,0.18,1488.0,169668.75,3.19,1.75,0.24,1749.81
Indiana,47980,1,131000.0,3,1,0.34,920.0,131000.0,3.0,1.0,0.34,920.0
Indiana,47983,1,189900.0,3,1,0.18,988.0,189900.0,3.0,1.0,0.18,988.0
Indiana,47990,4,114900.0,2,1,0.16,1248.0,114675.0,2.25,1.0,0.2,1355.25
Indiana,46001,18,145000.0,3,2,0.14,1424.0,143761.11,3.06,1.78,0.27,1667.33
Indiana,46034,7,264900.0,3,2,0.2,1678.0,263292.14,3.29,2.29,0.26,1660.14
Indiana,46038,63,315000.0,3,3,0.2,1934.0,336493.65,3.16,2.7,0.21,2150.73
Indiana,46058,2,110000.0,3,1,0.13,1448.0,149950.0,3.0,1.5,0.25,1551.0
Indiana,46115,3,150000.0,3,1,0.25,1664.0,132966.67,3.0,1.33,0.23,2081.33
Indiana,46118,4,299000.0,3,2,0.34,1415.0,310725.0,3.25,2.0,0.91,1533.0
Indiana,46147,6,214900.0,3,2,0.35,1904.0,297783.33,3.17,2.17,0.81,2022.17
Indiana,46149,3,599900.0,3,4,3.08,2328.0,665300.0,3.33,3.67,18.69,2560.67
Indiana,46151,78,299900.0,3,2,0.75,1980.0,313662.38,3.18,2.28,1.69,2335.96
Indiana,46156,1,149000.0,3,2,0.73,960.0,149000.0,3.0,2.0,0.73,960.0
Indiana,46157,21,286170.0,4,2,0.14,1771.0,274576.67,3.57,2.38,0.19,1901.33
Indiana,46160,10,325000.0,3,2,4.67,1600.0,306893.3,2.6,2.0,6.27,1587.1
Indiana,46161,4,189900.0,3,2,0.4,1700.0,247825.0,3.0,2.5,1.46,2039.75
Indiana,46163,36,350000.0,4,3,0.28,2495.0,340350.14,3.89,2.75,0.37,2437.22
Indiana,46208,62,179900.0,3,2,0.12,2129.0,219226.58,3.06,2.02,0.13,2248.85
Indiana,46235,47,190000.0,3,2,0.17,1680.0,204551.04,3.4,2.23,0.17,1790.45
Indiana,46237,68,255000.0,3,2,0.2,1963.0,265643.06,3.31,2.46,0.22,1988.0
Indiana,46322,21,218900.0,3,2,0.18,1522.0,233904.71,2.95,2.1,0.19,1716.81
Indiana,46360,75,179900.0,3,2,0.18,1549.0,317519.99,3.16,1.99,0.26,1633.2
Indiana,46379,2,99999.0,3,1,0.86,958.0,104999.0,3.0,1.0,0.87,1447.0
Indiana,46385,54,407000.0,4,3,0.33,2256.0,457613.81,3.69,3.09,0.5,2743.15
Indiana,46511,9,475000.0,4,3,2.0,2549.0,751044.44,3.67,3.0,3.52,2608.67
Indiana,46706,11,385000.0,3,3,0.29,2193.0,393693.55,3.45,2.64,1.03,2253.36
Indiana,46730,1,195000.0,3,1,0.58,1450.0,195000.0,3.0,1.0,0.58,1450.0
Indiana,46740,2,91600.0,2,1,0.16,988.0,128300.0,2.5,1.0,1.08,1218.0
Indiana,46742,6,189900.0,2,1,0.12,748.0,371583.33,3.17,2.17,0.12,1865.5
Indiana,46773,3,229000.0,3,2,0.15,1766.0,194666.67,3.33,1.67,2.44,1692.33
Indiana,46793,3,169000.0,4,3,0.19,1972.0,208300.0,4.0,2.33,0.19,2105.33
Indiana,46803,4,59900.0,2,2,0.11,1100.0,83550.0,2.75,1.75,0.11,1348.5
Indiana,46845,19,429900.0,4,3,0.33,2739.0,446736.0,3.58,3.0,0.36,2787.58
Indiana,46928,5,86500.0,3,1,0.24,1429.0,100240.0,3.0,1.2,0.34,1485.0
Indiana,46958,1,169900.0,3,2,0.57,1526.0,169900.0,3.0,2.0,0.57,1526.0
Indiana,46965,1,219000.0,3,2,0.3,4372.0,219000.0,3.0,2.0,0.3,4372.0
Indiana,46992,24,119900.0,3,1,0.2,1396.0,148816.67,2.71,1.5,0.29,1390.38
Indiana,47025,15,285000.0,3,2,0.53,1638.0,270800.0,3.0,2.4,0.65,1765.27
Indiana,47031,3,115000.0,3,1,1.5,974.0,127966.67,3.0,1.33,1.29,1015.33
Indiana,47041,4,199000.0,3,2,0.52,1478.0,194675.0,3.0,2.0,0.6,1742.25
Indiana,47043,9,110000.0,3,1,0.8,1166.0,128899.89,2.56,1.44,1.57,1216.44
Indiana,47123,2,17900.0,2,1,0.25,880.0,116450.0,2.5,1.5,5.22,1578.0
Indiana,47126,19,549900.0,3,3,0.23,2925.0,493331.58,3.42,2.74,0.25,2547.37
Indiana,47129,5,168000.0,3,2,0.14,1750.0,191540.0,2.8,2.0,0.14,1657.2
Indiana,47147,1,129000.0,1,1,2.84,600.0,129000.0,1.0,1.0,2.84,600.0
Indiana,47150,40,199900.0,3,2,0.14,1515.0,228959.98,2.93,1.75,0.15,1582.73
Indiana,47172,28,309900.0,2,2,0.14,1518.0,321957.14,2.75,2.21,0.16,1867.07
Indiana,47203,33,254900.0,3,2,0.22,1741.0,252305.91,3.0,2.21,0.25,1890.15
Indiana,47230,3,173500.0,3,3,2.98,1300.0,289466.67,3.0,2.67,2.89,2244.0
Indiana,47260,2,42900.0,2,1,0.42,2280.0,188950.0,3.0,1.5,6.21,2529.5
